dataset_record_id,tweet_id,tweet_url,text_original
record:003712eeeaf4e0ac0acb572a2f47c98f64d4977230e6b2fef776e20a964e53d4,850191645064560640,https://twitter.com/dtptraffic/status/850191645064560640,Traffic Alert निजामुद्दीन से मयूर विहार जाने वाले carriage way में बारापुला पर elevated road का कार्य चल रहा है जिसे sarai kale khan से 1/2
record:0037cfef513b8b1d6236a619600f9491b4844e66c31ce53e7806d0db8ea2b6e6,974924644963663873,https://twitter.com/dtptraffic/status/974924644963663873,"Traffic Alert दिल्ली बार काउंसिल के चुनाव के कारण शेरशाह सूरी मार्ग को बंद कर दिया गया है, कृपया भैरों मार्ग, मथुरा रोड और सुब्रमण्यम भारती मार्ग के प्रयोग से बचे I"
record:008cce2313de31d6f12c13ea168dbb8c8d19eaf42cc591bead300050bd840d4b,856808492279234562,https://twitter.com/dtptraffic/status/856808492279234562,Traffic Alert धरमपुरा फ्लाईओवर से सीलम पुर की तरफ एक डीटीसी बस ख़राब हो गयी है. जिस के कारण यातायात में बाधा है.
record:009f3c4b06cb02a6cbbcccf665c464d3019f5d86ae82b22ba6ae6dbd197fad43,603213557346492417,https://twitter.com/dtptraffic/status/603213557346492417,Traffic Alert लोहा मंडी रेड लाइट पर एक DTC Bus No. DL1PC 0422 ख़राब हो गई है जिसे जल्दी हटवा दिया जायेगा| असुविधा के लिए खेद है |
record:00a14b5a4b645d36f40752e6fd06487a1f6cf5da789b8733b3caa204a0f41d30,1034288796135710722,https://twitter.com/dtptraffic/status/1034288796135710722,Traffic Alert नांगलोई नजफगढ़ रोड पर सत्यभामा हॉस्पिटल के पास जलभराव के कारण यातायात प्रभवित है!
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,https://twitter.com/dtptraffic/status/912642447083134977,Traffic Alert CR Park से GK-2 जाने वाले मार्ग में दुर्गा पूजा की वजह से यातयात अधिक है I कृपया इस मार्ग के प्रयोग से बचें I
record:014e210f271c9832417fd9d7b9e1459940c2280559cd9c10c2b490f78175df5b,1098445625295663104,https://twitter.com/dtptraffic/status/1098445625295663104,Traffic Alert राजपुरा बुलवर्ड रोड को आसफ अली अस्पताल से तीस हजारी तक (09:00 से 12:00 बजे) तक one way किया गया है |
record:016c7be173e295ea00e1f29572d51ed4f98282b3be8fa4f436f7cf531647a6d3,933193259106516997,https://twitter.com/dtptraffic/status/933193259106516997,"Traffic Alert आज़ाद मार्केट चौक पर रानी झाँसी ब्रिज कंस्ट्रक्शन के काम कारण ट्रैफिक एक carriageway में चल रहा है ! जिसके कारण आज़ाद मार्किट,सदर बाजार ,बर्फ खाना ,पुल बंगश ,रोशनआरा रोड ,तीस हज़ारी और ISBT पर ट्रैफिक बाधित रहेगा।"
record:01ba32715b986a5e8d20e1a6feb1516297f8f3095485a2d6eca68dd43a81988e,1078866338800693249,https://twitter.com/dtptraffic/status/1078866338800693249,"Traffic Alert आश्रम से बदरपुर जाते हुए एक ट्रक CRRI रेड लाइट को तोड़ कर डिवाइडर पर चढ़ गया है, जिस कारण यातायात बाधित हैI"
record:01d0d7212414c72d029ce2c8635690eb00c2dd7e9783eee76efc2515c4e31adb,1038744495427223552,https://twitter.com/dtptraffic/status/1038744495427223552,Traffic Alert R/A पुसा रोड से मोती नगर की तरफ जाने वाले मार्ग में रोड पर एक गहरा गढ़ा होने के कारण यातायात प्रभावित है pic.twitter.com/mem7dStIFy
