dataset_record_id,tweet_id,tweet_url,text_original
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,https://twitter.com/dtptraffic/status/1012190838569521157,Traffic Alert नांगलोई से नजफगढ़ जाने वाले मार्ग में नांगलोई श्मशान घाट व TVS शोरूम के पास रोड धंस गयी है जिससे यातायात बाधित हैं | कृपया इस मार्ग के प्रयोग से बचें |
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,https://twitter.com/dtptraffic/status/1036139686652039169,Traffic Alert अभय मार्ग अग्रवाल स्वीट्स के पास एक पेड़ गिर गया हैं यातायात प्रभावित हैं|
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,https://twitter.com/dtptraffic/status/558811604566179840,"Traffic Alert सरदार पटेल मार्ग सुबह 9AM से लगभग 1:30 से 2:00 घंटे के लिए रिहर्सल के कारण बंद रहेगा, असुविधा के लिए खेद है|"
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,https://twitter.com/dtptraffic/status/1026805620727529472,Traffic Alert चिराग दिल्ली से नेहरु प्लेस जाने वाले मार्ग में आउटर रिंग रोड पर GK-2 मेट्रो स्टेशन के पास रोड धंस जाने के कारण यातायात बाधित है I
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,https://twitter.com/dtptraffic/status/1090608305989476357,Traffic Alert मुंडका से रानी खेड़ा ( both carriageways) की ओर जाने वाले मार्ग पर बिजली के खंभे गिर जाने के कारण यातायात बाधित हैI
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,https://twitter.com/dtptraffic/status/1072369605442715649,Traffic Alert लिबर्टी सिनेमा से कमल टी पॉइंट की तरफ जाने वाले मार्ग में IGL (Indraprastha Gas Ltd) का काम चल रहा है जिसके कारण यातायात प्रभावित हैI
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,https://twitter.com/dtptraffic/status/634055024218349568,Traffic Alert रानी झाँसी रोड पर यातायात अब सामान्य है |
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,https://twitter.com/dtptraffic/status/910364679301681153,"Traffic Alert जो वाहन वसंत विहार से गुरुग्राम या एयरपोर्ट की तरफ जाना चाहते है, वह नेल्सन मंडेला मार्ग से जा सकते हैI"
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,https://twitter.com/dtptraffic/status/1036507271302340609,Traffic Alert इंद्रमोहन भारद्वाज मार्ग कालिंदी कुंज जलभराव के कारण यातायात बाधित है!
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,https://twitter.com/dtptraffic/status/864089977109401601,Traffic Alert जसवंत सिंह गोल चक्कर से विंडसर प्लेस की तरफ जाने वाले मार्ग में BJP Office के सामने एक पेड़ गिर गया है जिससे यातायात बाधित है|
record:42e8437f7c5e14ab1431e9fa46122acd7ac3bea5d254ae4995ded4daf6957355,1070623402757517312,https://twitter.com/dtptraffic/status/1070623402757517312,Traffic Alert अकबर रोड गोल चक्कर से इंडिया गेट की तरफ जाने वाले मार्ग में सीवर पाइप लाइन के रिसाव के कारण यातायात प्रभावित हैI
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,https://twitter.com/dtptraffic/status/912642447083134977,Traffic Alert CR Park से GK-2 जाने वाले मार्ग में दुर्गा पूजा की वजह से यातयात अधिक है I कृपया इस मार्ग के प्रयोग से बचें I
record:f903881a98dc1fc818e98ad0ae597a0d6275dc9cdd6c843c98b36f8ec9cae2fb,997118644034330624,https://twitter.com/dtptraffic/status/997118644034330624,Traffic Alert कालिंदी कुंज से नोएडा की तरफ जाने वाले मार्ग पर नोएडा में एक पेड़ गिरने से रोड बंद हो गया हैं| अतः वाहन चालकों को सूचित किया जाता हैं कि DND की तरफ से जाने वाले मार्ग का प्रयोग करें|
record:0a50c6e802bd86144666643b18440cbb7cc5ba7e4bc4d4da542c52cd45cf87a8,866469775924281344,https://twitter.com/dtptraffic/status/866469775924281344,Traffic Alert अली गाँव रेड लाइट से बदरपुर बॉर्डर जाने वाले मार्ग में एक पेड़ गिर गया है जिससे यातायात ज्यादा है |
record:a6a9dc7afac0ce3e6beda1784acd11309187d990d67daa05ac55608010462523,1083980478376484864,https://twitter.com/dtptraffic/status/1083980478376484864,Traffic Alert संसद मार्ग ( Patel Chowk to NDMC ) को धरना प्रदर्शन के कारण यातायात के लिए बंद कर दिया गया हैI
record:1fe19da70e890b07fd75005ca5fd641c0000fa550cfdefcd51d09130d70db61f,1097771097628372992,https://twitter.com/dtptraffic/status/1097771097628372992,Traffic Alert रविदास जयंती का जुलूस जो लाहोरी गेट से चला था हमदर्द चौक आसफ अली रोड पहुँच गया हैI
record:894f97e45953e40c0f8b2caf119624269ea00f9ec13ac66cbce7266b23516635,1091352590133198850,https://twitter.com/dtptraffic/status/1091352590133198850,Traffic Alert नजफगढ़ रोड पर रनहोला गाँव के पास दिल्ली जल बोर्ड के द्वारा नई पाइप लाइन डालने का कार्य चल रहा है जिसके कारण यातायात प्रभावित हैI
record:6ce8d3e344e064788d0ad112dc6d7db3c14be7678984f9aea2406d891b6c8fea,863981063386705920,https://twitter.com/dtptraffic/status/863981063386705920,"Traffic Alert Disuse Canal रोड, गगन विहार से M.B.Pusta रोड पर PWD वाले Canal की सफाई का कार्य कर रहे है जिससे SDM office से खुरेजी चौक 1/2"
record:3dbc9bb6c08016a9da9b7451e9294045856d58eb2969ce55d12d40a0ca82b75f,1024156961955184640,https://twitter.com/dtptraffic/status/1024156961955184640,Traffic Alert आर.के. आश्रम मार्ग मेट्रो स्टेशन के पास पंचकुइंया रोड पर कनाट प्लेस की तरफ जाते हुए रोड में एक 15-20 फूट का गड्ढा हो गया हैं जिससे यातायात प्रभावित हैं |
record:0d861ff5cb921080fc74354e17558cf6ed9905508ff0758342439836dfcd5211,1013039835500535808,https://twitter.com/dtptraffic/status/1013039835500535808,Traffic Alert नरेला में राम देव चौक पर सड़क धंस गयी है I जिस कारण यातायात बाधित है I कृप्या इस मार्ग के प्रयोग से बचे I
